Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/03  10:00:00,-11.75,116.8125,608.75,-370.3550358444822,-3778.6885114292327,-479.37848219110833,42.507231686555116,-295.942743741067,-1633.014464185328,-288.5053767324123,62.1508892370546,1512.4675012909424,-1435.179621059606,-81.48292720793536,-1055.5736688463808,4.46032605495747 
 01/03  11:00:00,-9.75,178.5625,234.25,-371.40498552320463,-1340.5546489590506,-502.0538608453308,-222.85431709630944,-289.7772005765547,-85.11824653699222,-305.147540094603,-128.10612280859584,1501.3275970831885,-1453.8311956051066,-31.330594481842233,-267.00523523276365,4.456637812949211 
 01/03  12:00:00,-8.375,198.875,268.5625,-349.61883165499313,-2324.670193799103,-523.5868818426626,-428.7869144096487,-272.2465834441837,38.030332501277485,-320.9870241763448,-278.5432225442249,1484.0923588931587,-1466.0005020072342,-10.198666324672017,-632.7368120016072,4.517049739612444 
 01/03  13:00:00,-7.375,155.75,491.6875,-320.822005259139,-4435.559222400887,-545.7542530539438,-501.3599228630499,-256.2392392353592,47.42432958144179,-337.1204685388626,-858.8638927138145,1455.1491449859905,-1471.3122958107822,17.8426816681602,-812.4925159210138,4.660299475510996 
 01/03  14:00:00,-7.0625,131.875,519.875,-288.1409552169766,-3963.7419560034177,-564.8854345296863,-379.6049277600223,-246.42783641213055,42.449353965832984,-350.8524959721124,-1735.3492578258783,1419.861099177273,-1468.9452247006523,45.16313067121987,3.0138588878168093,4.855964444743824 
 01/03  15:00:00,-7.5375,72.375,711.0,-242.52272369320912,-3981.245753004993,-576.1965831682966,-36.91320811601372,-240.86936547166647,223.96789761710005,-356.9935709505354,-2732.532513869045,1386.6520500373076,-1459.021024055925,46.8795224844721,412.68925969552674,5.081106820909978 
 01/03  16:00:00,-8.55,31.75,633.625,-184.17960900790348,-1793.3144990287935,-582.5382784368938,379.41796389481897,-239.5621390832766,466.83469606012426,-352.63130056876554,-2385.31403526712,1353.7394136142286,-1443.2808553937298,23.988794236247276,1287.0860422083692,5.341909065135458 
 01/03  17:00:00,-9.0,5.625,143.9375,-115.86431936728957,2047.8018927095188,-584.7652841835313,755.7133281327938,-240.81418590359254,706.9413889883496,-333.04817594468545,512.505355644809,1324.4692029162966,-1423.346968158234,-31.892188638447173,1340.9572442485958,5.597773913785656 
 01/03  18:00:00,-9.0,0.0,0.0,-52.183237881104134,2650.4759264307945,-588.008172688962,847.8548251321663,-246.07638063308104,777.3322335210903,-302.3290678113515,1237.5643556858013,1296.1697723373027,-1400.8836480381815,-89.57600273305904,513.6536480508685,5.839206583439597 
 01/03  19:00:00,-9.0,0.0,0.0,-10.657725909800973,2223.3596027727654,-595.2389108468794,792.674041147533,-255.97714435446238,715.2718677151172,-273.59988716762575,1026.170192890845,1268.1492977997734,-1376.9074528945168,-116.8016479526938,238.58526972672996,6.070563538943842 
 01/03  20:00:00,-9.0,0.0,0.0,7.241131757357763,2044.7686371528762,-600.9335375898148,788.4731787062287,-266.29408840645635,706.9203410471666,-253.52602409551977,932.9213554009089,1250.0071265449267,-1352.0282189774712,-125.91405915705317,151.50200428700384,6.24674952030512 
 01/03  21:00:00,-8.375,0.0,0.0,7.737517676660218,1869.8910207087356,-602.3986782229592,679.406539154193,-274.7648178334891,640.4847257101942,-241.94471906440856,810.64182867931,1244.2718223631941,-1328.2862964508709,-127.09388299276964,-83.29007485734303,6.351582398271461 
 01/03  22:00:00,-8.625,0.0,0.0,-4.263960952071642,1699.2369127618424,-600.8693685252065,709.2516836634688,-281.73490359529853,631.9160983180892,-237.16143355332844,766.6634699294664,1246.85499134785,-1308.1836124465317,-120.9762806715725,194.03760340729474,6.399282440643819 
 01/03  23:00:00,-9.0,0.0,0.0,-22.95405025994296,1586.2158064256187,-595.0619981715114,752.759290367768,-286.14332906499044,636.3849948304512,-235.57506469237296,747.9537296804417,1257.7863847663455,-1293.1341488585908,-121.21327049551132,227.67208797738,6.3846787431025955 
 01/03  24:00:00,-9.0,0.0,0.0,-45.33151488389623,1494.662952577086,-586.0377444689382,750.4674477878914,-288.4190730033257,622.1591483494253,-235.6036775499378,719.8057800830838,1274.3076975585323,-1283.9114157853446,-124.74959082678049,192.58467949395276,6.3202717812793745 
