Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/03  10:00:00,-11.75,116.8125,608.75,-105.79203862096011,-121.37543055284493,-137.46555079733915,189.58224853959376,-83.82035690049827,-10.06931011937837,-85.36155965280801,127.61274691585268,557.2389530726209,-553.3080144840847,-138.57880407829083,-992.5775596513047,12.865095379461309 
 01/03  11:00:00,-9.75,178.5625,234.25,-117.63262630658667,3.127861239666176,-150.0438742063937,155.97867811368297,-90.90643114699179,74.18089057021477,-93.6803273190622,103.5643756828396,543.9720212392408,-554.9449274283954,-88.31179978220257,-210.3048882571254,12.941686196435455 
 01/03  12:00:00,-8.375,198.875,268.5625,-122.08585750549392,-111.12273550722523,-157.01451881076585,134.1372611948394,-93.28812999339334,84.00698852139887,-98.39982820993293,88.47622207343636,539.42596356793,-553.1318753752444,-66.15345825583526,-576.1016660560769,12.973304737392672 
 01/03  13:00:00,-7.375,155.75,491.6875,-126.48643309386543,-275.71588327795456,-165.20176201975198,114.4925787482512,-95.98375382603876,83.12146157247817,-103.88607753426754,14.230805490297557,531.9658663679743,-550.0648265763286,-36.56156319361227,-756.9218897548984,13.02017896084394 
 01/03  14:00:00,-7.0625,131.875,519.875,-130.46543232510788,-248.59428919878897,-173.53616302126483,126.4386392414041,-99.02214407180196,89.3414636177564,-109.463330777392,-62.4412644246488,522.9785851813899,-546.0382904277549,-7.355990044869781,58.43891676508986,13.077641009810602 
 01/03  15:00:00,-7.5375,72.375,711.0,-128.57906882981055,-256.3157288844353,-176.5454760616193,159.45771458665467,-99.23867178816295,110.78378215502157,-111.50756216785095,-142.55709260676787,520.908733570476,-540.9960928560538,-3.9795497081724562,466.570975236679,13.105263042369216 
 01/03  16:00:00,-8.55,31.75,633.625,-120.82890535259259,-76.18936175697098,-174.4564788287666,204.64507587780514,-96.80746072057565,140.46944315912145,-109.83456739317057,-102.53430702718927,525.3440543504353,-536.2988229892796,-25.106683513244786,1337.439185837452,13.101585084445768 
 01/03  17:00:00,-9.0,5.625,143.9375,-105.82160108635941,241.2102348416924,-165.85786967459262,233.3981800488113,-90.71364553254728,159.39711091342448,-103.08098084889224,139.78066567827972,538.8228522342499,-533.4932588894883,-78.73198180126845,1389.0118050762323,13.040657128505465 
 01/03  18:00:00,-9.0,0.0,0.0,-89.49428183346362,255.76473914013263,-156.30449473121155,231.46307481105816,-84.35661662071192,157.90029094776702,-94.56706898866673,162.09603488001736,553.4743753606908,-534.0564389559102,-133.96932628670805,565.2220960441516,12.950585673028726 
 01/03  19:00:00,-9.0,0.0,0.0,-79.25416494533059,251.84598812175042,-152.35403476947084,230.8435265897234,-81.82452062430593,157.28389804712603,-89.02131027484495,159.91245207057767,559.5388595821137,-537.8501132984334,-159.585246464007,286.6226240927174,12.898726014002763 
 01/03  20:00:00,-9.0,0.0,0.0,-74.09453092661678,250.89779975490018,-151.99245872559055,231.77381854627356,-81.77435766658579,157.6645079559309,-86.04765276838049,159.7248744164554,560.5653270867422,-542.7013528740204,-168.05953511856322,199.74480076466716,12.876601531358258 
 01/03  21:00:00,-8.375,0.0,0.0,-71.95153150305234,235.48062450634706,-152.8144325813801,217.59892344672897,-82.61532376468745,148.0965586501317,-84.53604146078874,149.7371101872658,560.4943091999094,-546.9740070831215,-169.29997811149326,-35.11803718297347,12.86445311658412 
 01/03  22:00:00,-8.625,0.0,0.0,-72.47062235491734,244.29934134098912,-154.73237917028803,227.6853397680763,-84.24854511824827,154.6395982292804,-84.4373188125573,156.02159587479534,559.3249037171204,-550.2684912189216,-163.63848910336577,237.21652359306233,12.8626312416013 
 01/03  23:00:00,-9.0,0.0,0.0,-72.94418874088012,246.79562696091156,-155.37586314828562,231.18120020559957,-85.13397785669918,156.80661553373415,-84.10431837351985,158.02303744248877,560.5649809507206,-552.5880402308355,-164.47766339346995,270.0239194627335,12.849608048830689 
 01/03  24:00:00,-9.0,0.0,0.0,-73.20884310411464,247.2806380211883,-154.88986914160114,232.51244471587518,-85.32805907181739,157.53600291686132,-83.46786715273754,158.58563144127498,563.825332224144,-554.5023445052409,-168.689870035201,235.5194560283585,12.824498189278742 
